Month,Inflation,Wage,Unemployment,Consumption,Investment,InterestRate
1965/01,1.558,3.200,4.9,6.972,12.3,3.90
1965/02,1.558,3.600,5.1,7.811,13.2,3.98
1965/03,1.242,4.000,4.7,7.828,18.7,4.04
1965/04,1.553,3.586,4.8,8.478,9.8,4.09
1965/05,1.553,3.968,4.6,7.139,10.2,4.10
1965/06,1.238,3.557,4.6,5.802,7.4,4.04
1965/07,1.238,3.953,4.4,6.282,6.6,4.09
1965/08,1.553,3.953,4.4,6.383,6.0,4.12
1965/09,1.548,3.516,4.3,8.485,13.6,4.01
1965/10,1.543,4.706,4.2,9.257,12.0,4.08
1965/11,1.231,3.891,4.1,10.266,11.9,4.10
1965/12,1.538,3.891,4.0,9.654,12.9,4.32
1966/01,0.920,4.264,4.0,9.600,16.5,4.42
1966/02,1.227,4.247,3.8,9.005,16.1,4.60
1966/03,1.534,3.846,3.8,9.634,14.3,4.65
1966/04,1.835,4.231,3.8,9.141,14.3,4.67
1966/05,2.141,3.817,3.9,8.124,2.7,4.90
1966/06,2.446,3.817,3.8,9.270,5.9,5.17
1966/07,2.752,4.183,3.8,8.967,6.3,5.30
1966/08,3.058,3.802,3.8,8.719,3.3,5.53
1966/09,3.049,4.151,3.7,8.241,5.2,5.40
1966/10,3.343,4.120,3.7,6.513,1.6,5.53
1966/11,3.647,4.120,3.6,6.744,-3.2,5.76
1966/12,3.333,4.120,3.8,6.554,-1.2,5.40
1967/01,3.647,3.717,3.9,6.247,-3.8,4.94
1967/02,3.636,4.074,3.8,4.842,-4.9,5.00
1967/03,3.625,3.704,3.8,4.394,-4.7,4.53
1967/04,3.303,3.690,3.8,5.130,-3.6,4.05
1967/05,3.293,4.044,3.8,6.163,-2.4,3.94
1967/06,3.284,4.779,3.9,6.573,1.8,3.98
1967/07,3.274,4.380,3.8,5.445,3.7,3.79
1967/08,3.264,4.762,3.8,5.519,5.4,3.90
1967/09,3.550,4.710,3.8,5.389,12.0,3.99
1967/10,3.529,4.317,4.0,4.888,5.8,3.88
1967/11,3.519,4.676,3.9,5.584,7.0,4.13
1967/12,3.812,4.676,3.8,6.740,9.4,4.51
1968/01,4.106,5.376,3.7,7.395,10.1,4.60
1968/02,4.094,4.982,3.8,8.203,6.6,4.71
1968/03,4.373,5.714,3.7,9.726,5.7,5.05
1968/04,4.360,6.050,3.5,8.464,14.5,5.76
1968/05,4.348,6.007,3.5,9.423,6.2,6.11
1968/06,4.624,5.614,3.7,9.714,4.3,6.07
1968/07,4.899,5.944,3.7,11.115,4.5,6.02
1968/08,4.885,5.944,3.5,11.185,3.8,6.03
1968/09,4.857,6.228,3.4,10.169,5.4,5.78
1968/10,4.830,6.207,3.4,11.581,8.5,5.91
1968/11,5.099,6.529,3.4,11.446,11.3,5.82
1968/12,5.085,6.529,3.4,9.776,6.7,6.02
1969/01,5.070,6.122,3.4,9.915,4.4,6.30
1969/02,5.337,6.441,3.4,10.352,7.9,6.61
1969/03,5.587,6.419,3.4,8.222,9.3,6.79
1969/04,6.128,6.376,3.4,9.199,4.4,7.41
1969/05,6.111,6.333,3.4,9.211,7.6,8.67
1969/06,5.801,6.312,3.5,8.064,2.7,8.90
1969/07,5.769,6.271,3.5,7.042,-0.2,8.61
1969/08,5.753,6.601,3.5,7.611,1.5,9.19
1969/09,5.995,6.515,3.7,7.964,0.4,9.15
1969/10,5.962,6.494,3.7,8.230,1.9,9.00
1969/11,5.930,6.452,3.5,7.620,0.6,8.85
1969/12,6.183,6.452,3.5,8.056,-2.0,8.97
1970/01,6.166,6.090,3.9,7.771,-4.2,8.98
1970/02,6.133,6.051,4.2,7.701,-4.2,8.98
1970/03,6.085,6.032,4.4,7.377,-4.8,7.76
1970/04,5.774,5.994,4.6,7.113,-4.3,8.10
1970/05,6.021,5.956,4.8,7.037,-4.7,7.94
1970/06,6.527,5.938,4.9,7.562,3.2,7.60
1970/07,6.234,5.901,5.0,7.622,2.5,7.21
1970/08,6.218,5.882,5.1,7.056,1.8,6.61
1970/09,6.170,6.116,5.4,7.491,-5.8,6.29
1970/10,6.394,5.488,5.5,6.442,-5.3,6.20
1970/11,6.616,5.152,5.9,5.826,-6.7,5.60
1970/12,6.582,5.758,6.1,6.878,1.2,4.90
1971/01,6.313,6.647,5.9,7.560,5.4,4.14
1971/02,5.779,6.306,5.9,7.166,12.8,3.72
1971/03,5.237,6.287,6.0,7.865,6.2,3.71
1971/04,4.963,6.548,5.9,8.289,9.6,4.15
1971/05,5.185,6.509,5.9,7.585,7.0,4.63
1971/06,4.902,6.490,5.9,8.282,7.9,4.91
1971/07,4.890,6.452,6.0,7.760,7.8,5.31
1971/08,4.634,6.725,6.1,7.968,8.4,5.56
1971/09,4.358,6.340,6.0,8.181,11.0,5.55
1971/10,3.846,6.647,5.8,8.737,11.4,5.20
1971/11,3.341,6.340,6.0,9.808,5.4,4.91
1971/12,3.088,6.877,6.0,9.451,13.5,4.14
1972/01,3.088,7.649,5.8,8.181,14.8,3.50
1972/02,3.325,7.910,5.7,8.363,16.0,3.29
1972/03,3.318,7.887,5.8,9.868,14.6,3.83
1972/04,3.310,7.821,5.7,9.278,13.0,4.17
1972/05,3.052,7.500,5.7,9.679,16.9,4.27
1972/06,2.804,7.202,5.7,8.861,12.1,4.46
1972/07,2.797,7.163,5.6,10.187,14.7,4.55
1972/08,3.263,7.123,5.6,10.156,15.1,4.80
1972/09,2.784,7.588,5.5,9.578,19.3,4.87
1972/10,3.009,8.130,5.6,11.075,20.8,5.04
1972/11,3.002,7.859,5.3,11.037,23.0,5.06
1972/12,2.995,7.507,5.2,10.677,21.9,5.33
1973/01,2.765,6.053,4.9,11.643,23.8,5.94
1973/02,2.759,5.759,5.0,12.193,19.0,6.58
1973/03,2.982,5.744,4.9,11.167,18.8,7.09
1973/04,3.204,5.699,5.0,11.064,15.9,7.12
1973/05,3.189,5.943,4.9,11.051,13.5,7.84
1973/06,3.182,6.460,4.9,10.866,11.0,8.49
1973/07,3.175,6.427,4.8,10.957,-0.8,10.40
1973/08,3.160,5.882,4.8,9.927,9.1,10.50
1973/09,3.837,6.549,4.8,11.297,10.0,10.78
1973/10,4.270,6.015,4.6,9.230,15.4,10.01
1973/11,4.484,6.281,4.8,9.578,15.2,10.03
